,title,comment
0,아픈 여자친구 저는 어떻게 연애해야할까요.,사귄지는 얼마나 되셨어요 .
1,이런 사람이 진짜 있는 건가요.,제가 그랬다가 후회중이죠.
2,아 존나 열받는데 봐줄사람.,이런걸로 기분 상하면 속좁은 걸까요.
3,님들이라면 기분 나쁨.,이해 가면서도 빡치기도하고.
4,부모님께 여자친구 있다고 얘기할까.,와 아난티를 예약해주시겠다고ㄷㄷ 부럽구려 부모님이 좋아해주시지 안을까.
5,남자레이저제모.,네 이건 스킬이 필요한것도 아니라서 걍 싼데서 하면 됨.
6,하 저 여친 처음으로 삐진거같은데.,자랑글인가요.
7,아 짝녀 카톡 개귀여운ㄷㅔ요;;.,짝녀맞냐 은근히 꼴받네.
8,소개팅어플 톡.,상대방 말하는 거 보고 결정을 했던 거 같아유.
9,직장인 데이트 횟수 시간 얼마가 적당한가요.,이건 커플마다 너무 다른 것 같은디 걍 개인적인 경험이라면 일주일에 1박 2일이 제일 좋앗던듯.
10,인스타 피드.,스토리안보는이상 뭘하든 모를걸요.
11,다들 연인이 게으르면 어떻게함.,정떨어짐.
12,잘 돼 가고 있는 거 같은데안 좋은 생각이 자꾸 드네요.,아님말고 라는 마인드로 나가세요 여유로워야 멋있음.
13,지금 애인의 전 애인이 인스타 염탐하는거 어떻게 생각하시나요.,피곤하겠지만 뭐.
14,이거 별 감정 없는거겠지.,딱히 감정 없이도 할 수 있는 행동인듯.
15,그린라이트 악셀 밟을까요.,발떼지마라.
16,선생님들 기대하고 만나도 됩니까!.,고고고고.
17,양꼬치집 가면 뭐 시킴.,온면 어향가지.
18,님들은 상대방 피어싱 어디까지 이해 되시나요.,귀만 이해 가능.
19,영구차단되면 글도 다 지워져.,노노 걍 자기가 지우는듯.
20,번호 물어보기는 도대체 어떻게 하는 건가요 ㄷㄷ.,처음이 어렵지.
21,데이트 일정 아예 안 짜면서 데이트 일정 계속 물어보는 여친.,너를 안좋아하는거 아님ㅠ.
22,직장인분들 일주일에 시간 얼마나보내세요.,그거 중요하지ㅇㅇ.
23,누가 더 잘못했고 누가 사과하는 게 맞을까요 잘 풀어야 하는 일일까요 남vs여.,글 진짜 길고 별로네요 그래도 너무 중요한 일이라 혹시 조회수 댓글이 없다면 오전 중에 재업 딱 한번만 하겠습니다ㅠ.
24,진짜 애인을 어디서 만나나 신기하네.,인연은 예상치 못한 곳에서 생기더라공 님도 인연이 있을거임!.
25,전혀 안친한 지인인데 생일이랑 빼빼로데이날 작은 기프티콘 주는거.,설레 막 신경쓰여.
26,남자 어깨가 여자로 따지면 뭐임.,그냥 이런거 세세하게 안따져.
27,여사친들이 선넘어서 삐졌는데 삐지는게 정상인가요.,ㅎㅁㅎ.
28,술자리에서 이런 말 들으면 어떻개 반응 할거임.,나는 너가 더 좋은데.
29,선생님들 직업이 교사면.,썸이신가요 애인이신가요 그거에 따라 다름.
30,이거 두개중에 하나 고를건데 도와주라.,헐 난 오른쪽.
31,너무 헷갈리게한다.,원래 여긴 찡찡 거리러 오는겨.
32,여기서 조금 더 다가가도 될까 고민입니다.,좋은기류긴 한데 친구인지 동생인지는 좀더 봐야할거같어 일단 인간적인 호감은 충분히 가지고있나봐.
33,남자 동기들이 CC할 생각 없는지 자꾸 물어보는데.,누구랑 뭐가 있어서 캐는거 아님.
34,거짓말 안 한다고 강조하는 사람 심리가 뭘까요.,그러니까 너도 거짓말 하지 마.
35,남자들은 힘든일 생기면 다 동굴로 들어가 .,울면서 말할 정도로 큰일이었으면 잘난 남자가 못되는 수준이 아니라 족쇄가 되는 수준까지 떨어질 일이라 그랬던건가.
36,여친집에 몰래 내복선물 극혐 호.,호.
37,꽃 선물 추천좀.,아 다 예쁜데 1 o고 2.
38,몇일전 다시 만났는데 어떻게 해야하죠.,헤어진 이유와 관련해서 여친분은 문제가 개선될 수 있다는 확신이 필요한 것 같고 이에 대해 글쓴이분은 명확하게 원인은 모르겠지만 노력하면 되겠지라는 식으로 막연히 접근하는 느낌.
39,상대가 절 정말 좋아하는지 모르겠어요.,음  상대가 님을 좀 불편해하나 성향차이라기 보단  서로 배려해줄려는 마음때문에 벽이 생긴 느낌이 드네요.
