,title,comment
40,남친 출근 할 때 출근 한다고 연락 해줬으면 좋겠다는게 통제성향임.,진짜 연락 안올것같은애가 2년만에 연락온적 있만 괜찮으면 다시 시작하고싶다는데 내쪽에서 거절함2년전엔 내가 차였었는데 기분 묘하더라.
7017,친구들이 애인 연봉의 2배라면 데이트비용 어떻게 낼건지 골라줘.,상대에 따라 다름.
9710,바쁜 남친 어캐 해야되냐 개같다~~~~.,나도 내가 너무 좋아했는데 남친이랑 연속으로 약속 깨지고 시간 안 맞고 만나질 못해서 헤어짐 근데 지금 폭풍 오지게 맞고 있어 사정이 괜찮아질 때까지 네가 맞추거나 아니면 걍 헤어지는 거지 뭐 ㅠㅠ 잘 생각해봐 후회 안 남게끔.
7570,30대 소개팅은 사귀기전에 꼭 자녀관 말하고 사귀어야하는거야.,꼭 그래야한다는 당연히 아니겠지만 공유하는 사람도 슬슬 많아질 나이라고 생각하는데너무 내 주변만 보고 그렇게 생각하는 건지는 모르겠다.
23441,옷에 진짜 하나도 관심 없는 남친 둔 친구들아.,못견디겠으면 사주고나는 깨끗하게 관리한옷 잘 빨아입고 다니면 크게 상관없어서 신경안썼어 자기가 관심없으니 내옷에도 크게 신경 안써서 편했고자기는 안사입으면서 나한테 어쩌고하면 헤어졌을거같긴함.
30216,헤어지자고했다가 당일날 붙은거.,ㅇㅇ.
6910,남친 꼬질꼬질한 모습도 귀여워서 큰일이다.,햄스터야.
23796,말해봐도 안 바뀌는 건 포기하는 수밖에 없나.,저게 단점 하나라구 여러가지가 모여서 저거 하나로 뭉쳐진 건데 기가 연락을 못 함으로써 너한테 미치는 영향 너한테 느끼는 미안함 걱정 전가 등등 부가적 생각X일상 공유하고 싶은 마음 없음 너는 항상 뒷전 피드백 안 됨 반성 없음 문제점 모름 총체적 난국!너한테만 아 ㄴ는 건지 원래 저런 사람인지 중요하지도 않아 뭐가 됐든 문제거든.
10245,30대 후반이 sns에 이런글 올리는거 어때.,그냥 그 사람이 싫나봐.
5846,결혼 적령기 되니까 한살 연하도 왜케 부담스럽지.,연하나름임 근데 한살차이면 동갑이나 마찬가진데뭐.
21442,너네 숙소 잡을때 어디 어플 써 휴가 가는것도 여기어때 많이 써.,여기어때.
5883,그럼 개마름인데 어깨넓은건 어때.,어머나 난 어깨에 미쳐.
33383,발렌도 안챙기고 화이트데이도 안받았는데 왜 서운한지모를.,보이면 그럴수있 근데 안준게 먼저니까 털.
13284,좋아하는데 성격적으로 너무 안맞을때 어떻게 해.,서로 타협이 불가능한 부분이면 포기하는게 빠름 관계를 포기하는거나 아니면 너가 포기해주는거나.
7768,아 결정사 기빨리네.,나두 지금 하는 중인데 엄청 기빨려 어렵더라 ㅠㅠ.
3278,8살연상남친 사귄지 3일인데.,8살 연상한테 그런취급 받으면서 사귀고싶어진지한 마음은 아니어보이니까 마음 너무 주지말고잠수이별일 수 있으니까 너무 마음깊게쓰지마.
10492,헤어지자고 내가 말해서 헤어졌는데.,그거 남자입장에서 헤어지자고 하면 나쁜놈될까바 먼저 말해주길 기다린 느낌일 수도 있음잘헤어졌다 너 ㅌㄷㅌㄷ.
8085,어플은 뭐가 제일 나아.,안하는게 제일 나아.
24909,내남친은 믿고방목하고 나는안달복달연애 스타일인데 내가 이상해.,언제까지 그런걸로 감정 소비할 순 없으니까차라리 자격증을 따는걸로 전전긍긍해.
5671,소주 한병 마셨는데 안취하네.,나랑 먹자.
23520,첫 애인하고 4년 만나다 차였는데.,당연한 수순이지 토닥토닥더 만나다보면 나 자신한테 화나고 한심해했던 걸 또 웃으면서 기억하게 될꺼야~.
27051,나 만우절 장난쳤을 때 남친 반응이 아직 너무 상처얌 ㅜ.,못할말 한것도 아니고 저정도로 정색하는건 좀 너무하네.
18753,수요일 전야제 화끈한데.,잠깻어.
7911,결혼 진짜 선택의 연속이구나.,시간을 쓰느냐 돈을 쓰느냐의 차이지 머ㅜㅜ.
27894,친구같은 연애하고 싶다.,동갑 만나보는건 어때.
6015,플립3 쓰는 친구들아.,ㅇㅇ 내 남친 플립3인데 충전 까먹었더니 저녁에 꺼짐 .
